,Officer Name,Rank,Command,Shield,Appointed Date,Total Arrests,Department Recognitions
1172,"ANDOLINA, STEPHEN M",POLICE OFFICER,AUTO POUND,228,7/8/2008,98,0
1173,"ANDRADE, ANTONIO J",POLICE OFFICER,TRANSIT DISTRICT 3,16528,7/6/2011,70,0
1174,"ANDRADE, CHRISTIAN T",POLICE OFFICER,019 PRECINCT,9215,10/24/2018,38,0
1175,"ANDRADE, CHRISTOPHER",POLICE OFFICER,067 PRECINCT,17196,1/6/2016,42,0
1176,"ANDRADE, JONATHAN D",SERGEANT,TRANSIT DISTRICT 32,1106,7/11/2012,230,1
1177,"ANDRADE, JOSE B",CAPTAIN,DET BORO BKLYN SOUTH,,7/1/2002,120,4
1178,"ANDRADE, LYZZA",DETECTIVE SPECIALIST,CHIEF OF DEPARTMENT,5946,7/11/2005,76,0
1179,"ANDRADE, MARINA R",POLICE OFFICER,075 PRECINCT,278,10/7/2015,127,2
1180,"ANDRADE, MELISSA",POLICE OFFICER,073 PRECINCT,12525,7/2/2018,13,1
1181,"ANDRADE, MICHAEL A",POLICE OFFICER,001 PRECINCT,114,1/10/2018,22,0
1182,"ANDRE, BRANDON T",POLICE OFFICER,107 PRECINCT,252,10/24/2018,21,0
1183,"ANDRE, GREGORY R",POLICE OFFICER,HOUSING PSA 2,19779,7/8/2015,86,8
1184,"ANDRE, JEFF",POLICE OFFICER,028 PRECINCT,1761,10/12/2021,0,0
1185,"ANDRE, JEQUETTA N",SERGEANT,HOUSING PSA 9,3858,1/10/2005,56,0
1186,"ANDREA, PETER",INSPECTOR,034 PRECINCT,,6/30/1995,51,1
1187,"ANDREANI, ANTHONY R",POLICE OFFICER,077 PRECINCT,16849,1/6/2016,122,3
1188,"ANDREANI, VITO",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,21904,7/1/2019,24,0
1189,"ANDREANO, ANTHONY P",LT SPECIAL ASSIGN,FACILITIES MANAGEMENT DIVISION,,7/1/2002,66,11
1190,"ANDREASSEN, LEIF K",POLICE OFFICER,072 PRECINCT,3062,7/18/1996,111,4
1191,"ANDREE, CHRISTOPHER J",POLICE OFFICER,105 PRECINCT,17996,1/6/2016,34,1
1192,"ANDREE, JOHN P",POLICE OFFICER,075 PRECINCT,19634,7/8/2015,93,2
1193,"ANDRENO, JOSEPH A",DETECTIVE 3RD GRADE,POL LAB FIREARMS ANALYSIS SEC,3057,7/8/2008,161,7
1194,"ANDREOLI, BRENT D",DETECTIVE 3RD GRADE,019 DET SQUAD,1054,7/8/2008,276,7
1195,"ANDRES, THOMAS L",DETECTIVE 3RD GRADE,TECH. ASSIST. & RESPONSE UNIT,2166,7/8/2008,97,4
1196,"ANDREU, TRAVIS W",POLICE OFFICER,044 PRECINCT,1045,4/12/2017,47,0
1197,"ANDREW, GABRIEL S",POLICE OFFICER,HOUSING PSA 3,18589,7/9/2013,45,0
1198,"ANDREW, VINORD J",POLICE OFFICER,001 PRECINCT,11378,7/2/2018,48,1
1199,"ANDREWS, DEAN J",POLICE OFFICER,TRANSIT DISTRICT 4,511,4/15/2019,5,0
1200,"ANDREWS, DEREK M",POLICE OFFICER,TRANSIT DISTRICT 4,29233,7/20/2006,179,1
1201,"ANDREWS, JONATHAN M",POLICE OFFICER,063 PRECINCT,13337,7/11/2012,86,8
1202,"ANDREWS, MARYANN",DETECTIVE 1ST GRADE,DEPT OF INVESTIGATION SQUAD,380,3/10/2000,33,1
1203,"ANDREWSSALES, MATTHEW",DETECTIVE 3RD GRADE,TECH. ASSIST. & RESPONSE UNIT,3406,1/10/2007,106,7
1204,"ANDRINI, RICHARD",POLICE OFFICER,TRANSIT DISTRICT 20,13687,1/9/2012,79,0
1205,"ANDRUSZKIEWICZ, BRIAN V",LIEUTENANT,PATROL BORO QUEENS SOUTH,,7/11/2005,39,0
1206,"ANDRYUK, JOHN J",SERGEANT,026 PRECINCT,3712,7/1/2002,169,5
1207,"ANDUJAR, ANDRE",POLICE OFFICER,TRANSIT DISTRICT 4,29015,1/23/2007,353,3
1208,"ANDUJAR, ANGEL L",POLICE OFFICER,041 PRECINCT,11969,7/10/2006,154,2
1209,"ANDUJAR, RAMON A",SERGEANT,033 PRECINCT,2756,7/18/2007,425,1
1210,"ANES, MICHAEL A",POLICE OFFICER,073 PRECINCT,16856,1/6/2016,81,1
1211,"ANG, SERGIOMONTY M",POLICE OFFICER,HOUSING PSA 3,17175,7/1/2019,15,0
1212,"ANGADI, VIKRAM C",POLICE OFFICER,109 PRECINCT,8046,7/13/2016,48,3
1213,"ANGELASTRO, JAMIE A",POLICE OFFICER,109 PRECINCT,22647,1/20/2004,127,0
1214,"ANGELES, GIUSEPPE L",POLICE OFFICER,TRANSIT DISTRICT 34,26085,1/3/2019,2,0
1215,"ANGELES, HENRY",DETECTIVE 3RD GRADE,AC ZONE II BRONX/ MANHATTAN,5725,7/1/2004,514,2
1216,"ANGELES, IVAN",POLICE OFFICER,044 PRECINCT,6975,7/6/2010,151,1
1217,"ANGELES, LUIS R",DETECTIVE 3RD GRADE,NARC BORO BRONX,168,7/1/2003,593,3
1218,"ANGELES, NICHOLAS G",POLICE OFFICER,007 PRECINCT,26667,10/12/2021,0,0
1219,"ANGELES, RANFFY",POLICE OFFICER,HB BROOKLYN RESPONSE TEAM,24078,1/4/2017,17,0
1220,"ANGELINI, ROBERT M",POLICE OFFICER,048 PRECINCT,138,10/24/2018,8,0
1221,"ANGELLO, NICHOLAS C",POLICE OFFICER,094 PRECINCT,24277,10/11/2016,124,0
1222,"ANGELO, SAMANTHA",DETECTIVE 3RD GRADE,NARC BORO BRONX,1641,7/6/2011,302,0
1223,"ANGELO, TYLER J",POLICE OFFICER,075 PRECINCT,21443,10/7/2015,121,5
1224,"ANGELONE, CHRISTOPHER D",POLICE OFFICER,122 PRECINCT,26468,1/10/2018,40,0
1225,"ANGELONE, JOSEPH J",SERGEANT,026 PRECINCT,718,7/10/2006,127,0
1226,"ANGELONE, JOSEPH J",POLICE OFFICER,113 PRECINCT,2293,4/12/2017,86,12
1227,"ANGELONE, MICHAEL J",POLICE OFFICER,101 PRECINCT,21088,7/8/2015,97,0
1228,"ANGELOPOULOS, CONSTANTIN",POLICE OFFICER,POLICE ACADEMY,25018,1/14/2009,168,1
1229,"ANGELS, EVAN J",POLICE OFFICER,046 PRECINCT,14528,7/2/2018,50,0
1230,"ANGELYNIAUK, VITALIY",SERGEANT,HOUSING PSA 1,1449,7/6/2011,340,1
1231,"ANGEN, DANIEL P",DETECTIVE 3RD GRADE,DA SQUAD BRONX,169,7/1/2002,188,6
1232,"ANGER, JOHN L",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,19136,7/2/2018,27,0
1233,"ANGERVIL, MARK B",POLICE OFFICER,079 PRECINCT,25456,1/3/2019,25,0
1234,"ANGHEL, ALEXANDRU O",LIEUTENANT,HOUSING PSA 3,,7/1/2004,63,10
1235,"ANGILLETTA, ALBERTO",DETECTIVE 2ND GRADE,STRIKE FORCE,7001,7/18/1996,791,6
1236,"ANGLISANO, ANTHONY",POLICE OFFICER,111 PRECINCT,5544,7/1/2004,146,2
1237,"ANGRUM, ALLISON T",DETECTIVE 3RD GRADE,BROOKLYN CHILD ABUSE SQUAD,549,7/8/2015,55,1
1238,"ANGULO, JAIME G",POLICE OFFICER,CRITICAL RESPONSE COMMAND,13532,1/20/2004,63,1
1239,"ANGULO, JONATHAN",POLICE OFFICER,073 PRECINCT,3614,7/6/2011,244,0
1240,"ANGWANG, BAIMADAJIE",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,11844,1/6/2016,31,0
1241,"ANIANO, JOSEPH J",DETECTIVE SPECIALIST,EMER SERV SQ 01,3976,7/6/2010,117,4
1242,"ANICHIARICO, JOSEPH W",SERGEANT,CRITICAL RESPONSE COMMAND,2857,7/6/2011,149,4
1243,"ANJOS, SAMANTHA M",POLICE OFFICER,HOUSING PSA 3,7587,4/12/2017,9,0
1244,"ANKAMAH, EMMANUEL K",POLICE OFFICER,040 PRECINCT,8965,7/9/2013,60,1
1245,"ANKELE, JESSE J",SERGEANT,HATE CRIME TASK FORCE,4673,7/2/2001,389,22
1246,"ANNARELLA, GEORGE",POLICE OFFICER,CRITICAL RESPONSE COMMAND,13728,7/1/2004,277,1
1247,"ANNARUMMA, ADELINE J",DETECTIVE 3RD GRADE,BROOKLYN SOUTH GRAND LARCENY SQD,290,7/6/2010,192,0
1248,"ANNICELLI, SCOTT T",DETECTIVE 2ND GRADE,PERSONNEL ORDERS DIVISION,1072,7/9/2007,94,0
1249,"ANNUNZIATA, FRANK J",POLICE OFFICER,052 PRECINCT,356,10/12/2021,0,0
1250,"ANNUNZIATA, SALVATORE",POLICE OFFICER,070 PRECINCT,15854,4/6/2016,81,0
1251,"ANOPOLSKY, ELI",POLICE OFFICER,019 PRECINCT,2279,12/29/2020,7,0
1252,"ANSARI, AVINASH",POLICE OFFICER,071 PRECINCT,30234,1/3/2019,30,1
1253,"ANSBRO, MATTHEW T",POLICE OFFICER,TB CITYWIDE VANDALS TASK FORCE,13974,7/9/2013,167,4
1254,"ANSCHICK, PHILIP B",POLICE OFFICER,020 PRECINCT,31689,8/30/1993,91,3
1255,"ANSELMO, DAVID J",POLICE OFFICER,RTS RECRUITS,23524,12/29/2021,0,0
1256,"ANSELMO, KRISTOPHER T",DETECTIVE 3RD GRADE,TECH. ASSIST. & RESPONSE UNIT,2535,1/10/2007,230,2
1257,"ANSELMO, SALVATOR",LIEUTENANT,007 PRECINCT,,9/2/1993,141,15
1258,"ANSON, JAMES E",POLICE OFFICER,072 PRECINCT,5453,7/7/1999,247,0
1259,"ANTENUCCI, ANTONIO",POLICE OFFICER,HB BROOKLYN RESPONSE TEAM,21211,7/8/2015,47,0
1260,"ANTHONY, ALANA L",DETECTIVE 2ND GRADE,BN EVIDENCE COLLECTION TEAM,7755,7/11/2005,27,0
1261,"ANTHONY, CHARSEL J",SERGEANT,009 PRECINCT,704,7/14/2009,160,2
1262,"ANTHONY, LAUREN A",DETECTIVE 3RD GRADE,CRIMINAL INTELLIGENCE SECTION,2183,1/7/2015,57,0
1263,"ANTHONY, NATHANIEL",SERGEANT,INTEL CIS FIO PROGRAM,1149,7/7/1999,809,10
1264,"ANTIC, ALEKSANDAR",POLICE OFFICER,HOUSING PSA 9,27228,10/24/2018,28,1
1265,"ANTICEV, DOMAGOJ",SGT DET SQUAD,GUN VIOLENCE SUPPRESSION DIVISION,14,7/1/1998,58,1
1266,"ANTIDORMI, MICHAEL J",POLICE OFFICER,081 PRECINCT,30302,7/9/2013,33,1
1267,"ANTIGUA, ANTHONY",POLICE OFFICER,HOUSING PSA 7,7438,10/7/2019,18,0
1268,"ANTIGUA, LORENZO",POLICE OFFICER,104 PRECINCT,23661,7/5/2017,45,1
1269,"ANTIPINA, ANASTASIYA",POLICE OFFICER,023 PRECINCT,15030,7/2/2018,30,0
1270,"ANTOINE, BURT H",LIEUTENANT,INTERNAL AFFAIRS BUREAU,,1/9/2006,215,11
1271,"ANTOINE, GREGORY",POLICE OFFICER,079 PRECINCT,16076,10/24/2018,14,0
1272,"ANTOINE, JAMES",DETECTIVE SPECIALIST,HOUSING PSA 8,7298,1/9/2013,85,1
1273,"ANTOINE, JERRY",POLICE OFFICER,076 PRECINCT,25557,10/11/2016,61,0
1274,"ANTOINE, NANCY",DETECTIVE 3RD GRADE,TECH. ASSIST. & RESPONSE UNIT,552,7/1/2004,116,0
1275,"ANTOLA, LAUREN C",POLICE OFFICER,025 PRECINCT,21238,1/4/2017,112,1
1276,"ANTOMATTEI, ANGELYN",POLICE OFFICER,033 PRECINCT,24137,10/7/2015,42,2
1277,"ANTON, CARLOS A",POLICE OFFICER,111 PRECINCT,6657,7/6/2010,277,9
1278,"ANTON, JARRED W",POLICE OFFICER,063 PRECINCT,23826,7/11/2012,41,1
1279,"ANTON, ROBERTO F",POLICE OFFICER,063 PRECINCT,27380,1/10/2005,94,5
1280,"ANTONACCIO, ANDREA J",POLICE OFFICER,072 PRECINCT,18626,7/13/2016,61,3
1281,"ANTONELLI, ANTHONY G",POLICE OFFICER,109 PRECINCT,3859,10/15/2021,0,0
1282,"ANTONELLI, MATTHEW J",POLICE OFFICER,114 PRECINCT,2740,12/29/2020,9,0
1283,"ANTONELLIS, KAITLYN M",POLICE OFFICER,105 PRECINCT,10582,1/8/2014,63,2
1284,"ANTONETTI, THOMAS F",LT SPECIAL ASSIGN,DEP COMM PUBLIC INFORMATION,,9/29/2000,39,0
1285,"ANTONIK, KEVIN J",POLICE OFFICER,009 PRECINCT,22135,10/11/2016,15,0
1286,"ANTONIO, JOSEPH J",CAPTAIN,078 PRECINCT,,1/9/2006,92,0
1287,"ANTONIO, LUIS A",DETECTIVE 3RD GRADE,INTEL CIS FIO PROGRAM,1760,7/11/2005,229,1
1288,"ANTONIOSBOCTOR, GASSER",SERGEANT,STATEN ISLAND COURT SECTION,384,1/20/2004,27,7
1289,"ANTONIUK, AGATA",DETECTIVE 3RD GRADE,CRIMINAL INTELLIGENCE SECTION,4147,7/1/2004,63,0
1290,"ANTONUCCI, JOSEPH V",POLICE OFFICER,110 PRECINCT,21575,10/7/2015,124,2
1291,"ANTORINO, THOMAS A",POLICE OFFICER,105TH DET SQUAD,25379,7/6/2011,329,0
1292,"ANTOSIEWICZ, PATRICK",POLICE OFFICER,120 PRECINCT,10976,10/18/2017,50,2
1293,"ANTUNES, JACK B",DETECTIVE 3RD GRADE,NARC BORO BRONX,3994,7/11/2012,114,0
1294,"ANTUOFERMO, JOSEPH P",POLICE OFFICER,115 PRECINCT,26628,10/7/2019,41,0
1295,"ANTWI, REUBEN",POLICE OFFICER,083 PRECINCT,25102,7/14/2009,196,0
1296,"ANTZOULIS, GEORGE K",POLICE OFFICER,PBBS PUBLIC SAFETY TEAMS,20684,1/4/2017,118,2
1297,"ANUSKIEWICZ, ROY",POLICE OFFICER,023 PRECINCT,16860,1/6/2016,59,4
1298,"ANWAR, ALI I",POLICE OFFICER,HIGHWAY UNIT NO 1,12510,7/6/2011,289,1
1299,"ANWAR, ASAD U",SERGEANT,TRAINING BUREAU,2458,7/10/2006,96,0
1300,"ANWAR, GHULAM S",POLICE OFFICER,HOUSING PSA 7,187,7/2/2018,12,0
1301,"ANWAR, MD A",POLICE OFFICER,062 PRECINCT,25965,2/24/2021,6,0
1302,"ANZA, VANESSA S",POLICE OFFICER,046 PRECINCT,13444,7/2/2001,183,0
1303,"ANZALONE, ALBERT",SERGEANT,MILITARY & EXTENDED LEAVE DESK,1262,7/1/2003,106,6
1304,"ANZALONE, ANTHONY J",POLICE OFFICER,PATROL BORO MAN NORTH,4699,7/1/2003,51,0
1305,"ANZALONE, CONNER A",POLICE OFFICER,060 PRECINCT,15317,7/13/2016,141,3
1306,"ANZALONE, ROBERT P",SERGEANT,112 PRECINCT,1126,7/6/2011,65,1
1307,"ANZALONE, RUDY",DETECTIVE 3RD GRADE,INTEL CIS FIO PROGRAM,5617,1/7/2008,439,42
1308,"ANZIANI, JESUS",POLICE OFFICER,047 PRECINCT,4102,10/12/2021,0,0
1309,"AO, JOHN G",POLICE OFFICER,109 PRECINCT,13258,4/28/2021,10,0
1310,"APADULA, NICOLA",DETECTIVE 3RD GRADE,079 DET SQUAD,2661,7/9/2013,476,36
1311,"APARICIO, MARGOTH E",POLICE OFFICER,076 PRECINCT,22053,1/7/2008,111,4
1312,"APARO, PAUL J",SERGEANT,075 DET SQUAD,579,7/18/2007,72,0
1313,"API, STEPHEN J",SERGEANT,NARC BORO BRONX,1314,1/10/2007,39,1
1314,"APOLINARIO, OSCAR O",POLICE OFFICER,025 PRECINCT,26271,7/1/2003,202,0
1315,"APOLLONIO, MICHAEL M",POLICE OFFICER,121 PRECINCT,5763,7/8/2015,34,0
1316,"APONTE, BRAULIO",SERGEANT,HOUSING PSA 8,1127,7/6/2010,300,4
1317,"APONTE, CHRISTOPHER L",SERGEANT,CHARACTER ASSESSMENT SECTION,1953,7/11/2005,110,7
1318,"APONTE, JANETTE",POLICE OFFICER,CHARACTER ASSESSMENT SECTION,23281,7/11/2005,510,4
1319,"APONTE, JAVIER N",DETECTIVE 3RD GRADE,NARC BORO BRONX,1102,7/11/2005,639,4
1320,"APONTE, JOHNATHAN H",POLICE OFFICER,BROOKLYN COURT SECTION,10421,1/6/2016,16,0
1321,"APONTE, KARIEL",SERGEANT,PERSONNEL ORDERS DIVISION,1099,1/7/2008,324,3
1322,"APONTE, KRYSTELYN E",POLICE OFFICER,077 PRECINCT,16207,7/5/2017,57,1
1323,"APONTE, LOUIS L",POLICE OFFICER,WARRANT SECTION,7454,1/7/2015,127,10
1324,"APONTE, RAYJACQUES",POLICE OFFICER,122 PRECINCT,16822,1/10/2005,142,0
1325,"APONTE, RICHARD",POLICE OFFICER,TRANSIT DISTRICT 1,2412,7/16/1999,188,6
1326,"APONTEKELLY, ELIZABETH N",POLICE OFFICER,TRANSIT DISTRICT 1,21082,7/1/2019,6,0
1327,"APONTERODRIGUEZ, JONATHAN F",POLICE OFFICER,048 PRECINCT,6763,12/29/2020,7,0
1328,"APPIAH, EMMANUEL",POLICE OFFICER,007 PRECINCT,2192,10/12/2021,0,0
1329,"APPICE, CHRISTOPHER P",POLICE OFFICER,109 PRECINCT,28003,1/7/2015,65,4
1330,"APPLETON, ZACHARY H",POLICE OFFICER,HOUSING PSA 6,11710,7/18/2007,22,5
1331,"APUANGO, DIEGO V",POLICE OFFICER,083 PRECINCT,21889,7/7/2021,6,0
1332,"AQIEB, AHMED",POLICE OFFICER,047 PRECINCT,15571,11/2/2020,11,0
1333,"AQUARTMORGAN, ANASTASIA S",POLICE OFFICER,MAN COURT SECTION,13404,11/2/2020,14,0
1334,"AQUILA, ROBERT D",POLICE OFFICER,TRANSIT DISTRICT 23,15576,7/13/2016,17,0
1335,"AQUINO, ALAYS",POLICE OFFICER,047 PRECINCT,7484,12/29/2020,7,0
1336,"AQUINO, CARLOS",POLICE OFFICER,HOUSING PSA 8,4580,7/9/2014,51,1
1337,"AQUINO, CHRISTOPHER S",POLICE OFFICER,094 PRECINCT,27134,1/6/2020,19,0
1338,"AQUINO, DANNY",DETECTIVE SPECIALIST,041 PRECINCT,620,1/10/2005,345,8
1339,"AQUINO, ERIK",SERGEANT,PATROL BORO MAN NORTH,494,1/20/2004,106,2
1340,"AQUINO, GASPAR J",POLICE OFFICER,RTS RECRUITS,20051,12/29/2021,0,0
1341,"AQUINO, JONATHAN",POLICE OFFICER,073 PRECINCT,15569,1/7/2015,112,0
1342,"AQUINO, JOSE M",POLICE OFFICER,070 PRECINCT,26580,2/24/2021,4,0
1343,"AQUINO, JOSE M",SERGEANT,STRATEGIC RESP GRP 4 QUEENS,264,1/20/2004,166,0
1344,"AQUINO, KEVIN",POLICE OFFICER,HOUSING PSA 2,372,10/15/2021,0,0
1345,"AQUINO, RAFAEL G",POLICE OFFICER,HOUSING PSA 6,28432,7/11/2012,158,4
1346,"AQUINO, RALPH J",SERGEANT,020 PRECINCT,660,7/9/2007,68,0
1347,"AQUINO, RAYMOND J",SERGEANT,MAN COURT SECTION,914,7/14/2009,71,3
1348,"AQUINO, SALVATORE",DETECTIVE 3RD GRADE,068 DET SQUAD,4144,7/6/2010,219,6
1349,"AQUINO, STEPHANIE C",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,11011,10/18/2017,8,0
1350,"AQUINO, WILFRY",POLICE OFFICER,RTS RECRUITS,20280,12/29/2021,0,0
1351,"AQUINOANDERSON, ERNESTO A",POLICE OFFICER,TRANSIT DISTRICT 12,18757,11/2/2020,3,0
1352,"ARABELLA, GEORGE H",SERGEANT,122 PRECINCT,91,7/1/2002,122,9
1353,"ARACE, ANTHONY V",POLICE OFFICER,044 PRECINCT,317,10/24/2018,108,0
1354,"ARACENAVILLAFANA, RANDY",POLICE OFFICER,013 PRECINCT,4861,12/29/2020,4,0
1355,"ARADOMUNAR, PAULA C",POLICE OFFICER,007 PRECINCT,22630,7/7/2021,6,0
1356,"ARAFAT, YASIR",POLICE OFFICER,TRANSIT DISTRICT 20,20699,10/7/2019,2,0
1357,"ARAGON, ANGELICA",POLICE OFFICER,HB BRONX/QUEENS RESPONSE TEAM,6287,7/8/2015,17,0
1358,"ARAMBOLES, WILSON",ASSISTANT CHIEF,EMERGENCY SERVICE UNIT,,1/26/1988,407,26
1359,"ARANA, FELIX M",DETECTIVE 3RD GRADE,WARRANT SECTION,5145,7/9/2007,231,7
1360,"ARANA, JOSHUA N",POLICE OFFICER,RTS RECRUITS,20552,12/29/2021,0,0
1361,"ARANCIBIA, JORGE L",LIEUTENANT,HOUSING PSA 2,,7/1/2002,49,3
1362,"ARANGO, EDWARD",DETECTIVE 3RD GRADE,HWY DST COLLISION INV SQD,6481,7/11/2005,127,1
1363,"ARAQUE, LINDA V",SGT DET SQUAD,QUEENS TRANSIT ROBBERY SQUAD,20,7/22/2002,257,14
1364,"ARASIN, ALEXANDER J",POLICE OFFICER,TRANSIT BUREAU,10070,1/14/2009,124,6
1365,"ARATA, WILLIAM R",DETECTIVE 3RD GRADE,INTERNAL AFFAIRS BUREAU,3430,7/18/2007,96,3
1366,"ARAUJO, JONATHAN",POLICE OFFICER,072 PRECINCT,14999,1/6/2020,12,0
1367,"ARAUJOLAPAIX, MARCOS O",POLICE OFFICER,114 PRECINCT,7100,4/6/2016,59,0
1368,"ARAUJOPASSOS, JOESNE",POLICE OFFICER,052 PRECINCT,19456,11/2/2020,15,0
1369,"ARAUZ, VICTOR M",SERGEANT,TRANSIT DISTRICT 4,168,1/14/2009,87,0
1370,"ARAV, ADRIAN J",DETECTIVE 3RD GRADE,POL LAB FIREARMS ANALYSIS SEC,1793,1/20/2004,32,3
1371,"ARBELAEZ, JUAN C",POLICE OFFICER,HEADQUARTERS SECURITY UNIT,28625,7/1/2004,48,0
1372,"ARBER, ELIDON G",POLICE OFFICER,108 PRECINCT,3019,1/10/2005,25,3
1373,"ARBIA, JOSEPH",POLICE OFFICER,101 PRECINCT,8721,1/10/2007,106,2
1374,"ARBOLEDA, ANA M",SERGEANT,LIAISON UNIT,131,1/14/2009,107,0
1375,"ARBOLEDAPALACIO, MATEO",POLICE OFFICER,068 PRECINCT,7444,4/25/2018,35,0
1376,"ARCANGEL, ERIC",POLICE OFFICER,040 PRECINCT,23166,7/7/2021,9,0
1377,"ARCE, ADAM A",POLICE OFFICER,107 PRECINCT,21576,10/7/2015,128,1
1378,"ARCE, ELIAS D",POLICE OFFICER,045 PRECINCT,12320,1/6/2016,53,1
1379,"ARCE, JERRY",POLICE OFFICER,HOUSING PSA 1,25158,1/4/2017,28,0
1380,"ARCE, JOSHUA",POLICE OFFICER,TRANSIT BORO BROOKLYN,34,7/11/2005,68,0
1381,"ARCE, KEITH R",DETECTIVE SPECIALIST,EMERGENCY SERVICE UNIT,4563,8/31/1998,90,5
1382,"ARCE, RICHARD",POLICE OFFICER,BROOKLYN COURT SECTION,25247,1/17/2008,241,0
1383,"ARCEGA, ANNE T",POLICE OFFICER,042 PRECINCT,16468,1/6/2016,32,0
1384,"ARCEO, CESAR",DETECTIVE SPECIALIST,115 PRECINCT,3929,7/1/2004,478,18
1385,"ARCEO, JEFFREY K",SERGEANT,INVESTIGATION & EVALUATION SECT,2894,1/7/2008,183,2
1386,"ARCHANGE, GREYSY",POLICE OFFICER,104 PRECINCT,5303,7/9/2007,141,1
1387,"ARCHANGE, MAXIME",POLICE OFFICER,060 PRECINCT,15412,1/6/2016,65,1
1388,"ARCHDEACON, DANIEL R",POLICE OFFICER,PBBN SECURITY DETAIL,6966,7/8/2008,50,1
1389,"ARCIOLD, JAMES J",POLICE OFFICER,QN EVIDENCE COLLECTION TEAM,22213,8/31/1998,69,2
1390,"ARCOLEO, MARIE R",POLICE OFFICER,103 PRECINCT,25900,7/6/2011,34,0
1391,"ARCOS, ANTHONY",POLICE OFFICER,TRANSIT DISTRICT 2,25150,7/7/2021,0,0
1392,"ARCOS, BRADLEY D",POLICE OFFICER,088 PRECINCT,14936,1/6/2016,54,3
1393,"ARDIS, DYLAN J",POLICE OFFICER,019 PRECINCT,614,7/2/2018,13,1
1394,"ARDISANA, KARL A",DETECTIVE SPECIALIST,SPECIALIZED TRAINING SECTION,1297,7/1/2002,408,5
1395,"ARDITO, ANN M",SERGEANT,MEDICAL DIVISION,316,7/1/2003,35,0
1396,"ARDITO, VINCENT A",POLICE OFFICER,ATU LATE TOUR PATROL TD 2,20803,1/4/2017,5,0
1397,"ARDIZZONE, ANTHONY J",POLICE OFFICER,HOUSING PSA 9,7239,4/15/2019,11,0
1398,"ARDOLINO, JESSICA A",POLICE OFFICER,075 PRECINCT,2210,7/9/2013,69,3
1399,"ARDOLINO, JOSEPH D",POLICE OFFICER,PBBN PUBLIC SAFETY TEAMS,19087,7/8/2015,93,18
1400,"ARDOLINO, MICHAEL A",DETECTIVE SPECIALIST,CHIEF CRIME CONTROL STRATEGIES,2243,1/9/2012,318,73
1401,"ARDOUIN, ROODJERY F",POLICE OFFICER,HOUSING PSA 2,9136,7/7/2021,3,0
1402,"ARELLANO, RAMSEY",POLICE OFFICER,047 PRECINCT,23045,11/2/2020,13,0
1403,"ARENA, ANTHONY J",POLICE OFFICER,032 PRECINCT,8750,1/6/2016,100,4
1404,"ARENA, BRENDAN D",POLICE OFFICER,HOUSING PSA 3,4606,4/15/2019,1,0
1405,"ARENA, BRITTANY A",POLICE OFFICER,103 PRECINCT,638,10/12/2021,0,0
1406,"ARENA, BRYAN",POLICE OFFICER,HARBOR UNIT,3834,1/8/2014,72,6
1407,"ARENA, CHRISTOPHER J",POLICE OFFICER,MN EVIDENCE COLLECTION TEAM,7633,7/9/2013,81,10
1408,"ARENA, CHRISTOPHER M",DETECTIVE 3RD GRADE,115TH DET SQUAD,6200,7/10/2006,516,12
1409,"ARENA, JOSEPH A",POLICE OFFICER,105 PRECINCT,9544,1/9/2012,69,0
1410,"ARENCIBIA, DYLAN B",POLICE OFFICER,HOUSING PSA 6,22004,1/10/2018,36,0
1411,"ARENCIBIA, PAUL A",POLICE OFFICER,HOUSING PSA 4,12060,7/13/2016,36,2
1412,"ARENELLA, JAMES F",SERGEANT,019 PRECINCT,209,7/11/2012,64,0
1413,"ARENELLA, JAMES J",POLICE OFFICER,007 PRECINCT,12781,1/6/2016,79,10
1414,"ARESKOG, MATTHEW E",DETECTIVE 3RD GRADE,TECH. ASSIST. & RESPONSE UNIT,7061,7/21/2008,140,9
1415,"AREVALO, DANIEL R",POLICE OFFICER,023 PRECINCT,18827,7/8/2015,110,4
1416,"AREVALO, HUGO N",POLICE OFFICER,PA SITE & SECURITY UNIT,80,7/10/2006,95,0
1417,"ARFEEN, ADAM Z",POLICE OFFICER,104 PRECINCT,27938,1/6/2020,40,0
1418,"ARFI, MARY M",POLICE OFFICER,077 PRECINCT,26447,7/1/2002,17,1
1419,"ARGENZIANO, JAMES",LT DET COMMANDER,NARCOTICS CANINE UNIT,,1/9/1986,151,11
1420,"ARGENZIANO, JAMES N",SERGEANT,FORCE INVESTIGATION DIVISION,114,1/9/2013,128,5
1421,"ARGILA, JAMES D",DETECTIVE SPECIALIST,075 PRECINCT,3497,7/8/2008,288,75
1422,"ARGIRO, ALEX J",DETECTIVE 1ST GRADE,DET BORO MAN NO HOMICIDE SQ,1413,4/15/1997,191,3
1423,"ARGUDO, KATHERINE J",POLICE OFFICER,103 PRECINCT,11875,4/25/2018,48,2
1424,"ARGUDORAMOS, KARLA L",POLICE OFFICER,HOUSING PSA 6,21786,10/7/2019,14,0
1425,"ARGUETALINARES, MANUEL",POLICE OFFICER,HOUSING PSA 7,22066,1/10/2018,14,0
